scenario_id,category,prompt,expected_domains,predicted_domain,domain_match,expected_action,selected_action,action_match,consensus_score,rar_triggered,rar_accepted,utility,performance_score,cost_efficiency_score,risk_reduction_score,xi
pm033,reliability_operations,"During peak customer hours, we are seeing repeated timeouts and service degradation. What should we do?","[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm034,cross_domain_cost_reliability,"The build is stable, but latency is trending upward and costs are increasing. What governance action do you recommend?","[""SRE"", ""FinOps""]",DevOps,False,Scale adjustment,Mitigate and monitor,False,0.56,True,False,0.614,0.475,0.68,0.4,0.84
pm035,security_compliance_governance,Engineering is requesting a temporary security exception to meet the release deadline. Should we allow it?,"[""DevSecOps"", ""DevOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.5900000000000001,True,False,0.9396,0.32,0.7,0.672,0.84
pm036,pm_prioritization_escalation,"We have moderate operational concerns, but no major customer complaints yet. Can this issue be deferred safely?","[""SRE"", ""DevOps"", ""FinOps"", ""DevSecOps""]",DevOps,True,No action (observe),Block release and fix pipeline,False,0.6,True,False,0.575,0.25,0.75,0.4,0.8112
pm037,cross_domain_release_governance,"DevOps says the release is ready, SRE is worried about latency, and security has policy concerns. What is the final recommendation?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.8600000000000001,False,True,1.0494,0.4325,0.7,0.888,0.84
pm038,pm_prioritization_escalation,Our sprint delivery slipped because of repeated deployment and operational issues. What should I focus on first?,"[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.6,True,False,0.602,0.295,0.75,0.43,0.8112
pm039,cost_governance,"After launching the new feature, our operating costs increased sharply. Is this sustainable?","[""FinOps""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm040,reliability_operations,"We are seeing elevated latency and some errors, but the service is still functioning. Is this an incident or something we can monitor?","[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.92,False,True,0.764,0.5625,0.68,0.45,0.8095
pm041,release_governance,"We detected deployment drift before an important customer demo. Should we proceed, rollback, or hold?","[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.92,False,True,0.817,0.52,0.75,0.58,0.808
pm042,cross_domain_general_investigation,"Security concerns are rising, performance is degrading, and cloud costs are climbing. Please assess the overall situation and recommend the best next step.","[""DevSecOps"", ""SRE"", ""FinOps""]",SRE,True,Patch or block release,Patch or block release,True,0.56,True,False,0.6996,0.32,0.7,0.672,0.84
pm043,release_governance,"The team wants to continue rollout, but there are warning signs in reliability and deployment stability. Should we pause for review?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.6,True,False,0.602,0.295,0.75,0.43,0.8112
pm044,cost_governance,"Our infrastructure costs are trending upward, but performance seems stable. Are these costs acceptable or should we optimize?","[""FinOps""]",SRE,False,Scale adjustment,Mitigate and monitor,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm045,security_compliance_governance,We have identified compliance issues just before our audit window. What governance action should we take?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.62,True,False,0.9518,0.3325,0.7,0.696,0.8086
pm046,pm_prioritization_escalation,"The release is facing deployment, latency, and security concerns. What is the likely business impact and what should I prioritize?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.56,True,False,0.6996,0.32,0.7,0.672,0.84
pm047,reliability_operations,Performance concerns are present but not yet severe. Can we safely monitor instead of intervening immediately?,"[""SRE""]",SRE,True,No action (observe),Mitigate and monitor,False,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm048,cross_domain_release_governance,"We have a customer-facing release scheduled, but security flagged policy issues and engineering is under deadline pressure. What is the right governance decision?","[""DevSecOps"", ""DevOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.89,False,True,1.0494,0.4325,0.7,0.888,0.808
pm049,cross_domain_cost_reliability,"We improved reliability, but it now costs much more to run the platform. Are we overspending to maintain stability?","[""SRE"", ""FinOps""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm050,pm_prioritization_escalation,"Before today’s standup, I need a governance view of current deployment, reliability, cost, and security issues. What should the team focus on?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",FinOps,True,Mitigate and monitor,Review scaling policy,False,0.5900000000000001,True,False,0.7306,0.3325,0.7575,0.401,0.84
