id,title,category,priority,expected_action,recommended_action,action_match,consensus_score,rar_triggered,rar_loops,utility_score,xi_score,expected_domain_count,actual_domain_count,domain_overlap_count
pm030,What should the team do in the next 24 hours,pm_prioritization_escalation,medium,Mitigate and monitor,Patch or block release,False,0.6885310363079826,True,1,0.07900000000000004,0.52,4,4,4
pm031,Release blocked by compliance concerns,security_compliance_governance,high,Patch or block release,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,1,4,1
pm032,Infrastructure costs rising during growth,cost_governance,medium,Scale adjustment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,2,4,2
pm033,Repeated timeouts during customer peak hours,reliability_operations,high,Mitigate and monitor,Mitigate and monitor,True,0.6380843911969091,True,1,0.295,0.52,1,4,1
pm034,Build stable but costs and latency rising,cross_domain_cost_reliability,medium,Scale adjustment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,2,4,2
pm035,Security exceptions requested for deadline,security_compliance_governance,high,Patch or block release,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,2,4,2
pm036,Can we defer this operational issue,pm_prioritization_escalation,low,No action (observe),Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,4,4,4
pm037,Release readiness under conflicting domain advice,cross_domain_release_governance,high,Patch or block release,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,3,4,3
pm038,Why did our sprint delivery slip,pm_prioritization_escalation,medium,Rollback to stable deployment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,2,4,2
pm039,Cost spike after feature launch,cost_governance,medium,Scale adjustment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,1,4,1
pm040,Is this an incident or something we can monitor,reliability_operations,medium,Mitigate and monitor,Mitigate and monitor,True,0.564731023729712,True,1,0.25099999999999995,0.52,1,4,1
pm041,Deployment drift before customer demo,release_governance,high,Rollback to stable deployment,Rollback to stable deployment,True,0.5937287392826325,True,1,0.265,0.52,1,4,1
pm042,"Security, cost, and reliability all deteriorating",cross_domain_general_investigation,high,Patch or block release,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,3,4,3
pm043,Should we pause rollout for operational review,release_governance,medium,Rollback to stable deployment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,2,4,2
pm044,Are current infrastructure costs acceptable,cost_governance,low,Scale adjustment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,1,4,1
pm045,Compliance issue ahead of audit window,security_compliance_governance,high,Patch or block release,Patch or block release,True,0.6885310363079826,True,1,0.07900000000000004,0.52,1,4,1
pm046,What is the business impact of this release issue,pm_prioritization_escalation,medium,Patch or block release,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,3,4,3
pm047,Can we safely monitor instead of intervening,reliability_operations,low,No action (observe),Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,1,4,1
pm048,Customer-facing release under security pressure,cross_domain_release_governance,high,Patch or block release,Patch or block release,True,0.6885310363079826,True,1,0.07900000000000004,0.52,2,4,2
pm049,Are we spending too much to maintain stability,cross_domain_cost_reliability,medium,Scale adjustment,Mitigate and monitor,False,0.564731023729712,True,1,0.25099999999999995,0.52,2,4,2
pm050,End-to-end governance review for today's standup,pm_prioritization_escalation,medium,Mitigate and monitor,Patch or block release,False,0.6885310363079826,True,1,0.07900000000000004,0.52,4,4,4
