scenario_id,category,prompt,expected_domains,predicted_domain,domain_match,expected_action,acceptable_actions,selected_action,primary_action_match,acceptable_action_match,consensus_score,rar_triggered,rar_accepted,utility,performance_score,cost_efficiency_score,risk_reduction_score,xi
pm015,security_compliance_governance,A critical vulnerability was found in the release candidate just before deployment. Should we move forward or stop?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release""]",Patch or block release,True,True,0.92,False,False,1.0494,0.4325,0.7,0.888,0.81
pm016,release_governance,Services are showing repeated restart loops after the latest release. What is the recommended action?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm017,cross_domain_general_investigation,"Something feels off across the platform after the latest release. Performance seems worse, costs look higher, and teams are concerned. Please assess the situation.","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm018,security_compliance_governance,"We are preparing to go live, but compliance checks identified policy issues. What is the governance recommendation?","[""DevSecOps""]",SRE,False,Patch or block release,"[""Patch or block release""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm019,reliability_operations,"We are entering a launch window, but latency is rising and users are experiencing slow responses. What should we prioritize?","[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm020,release_governance,The build pipeline has been unstable for the last two release attempts. Should we hold the release?,"[""DevOps""]",SRE,False,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm021,cross_domain_release_governance,"The release candidate passed deployment checks, but security found policy violations and performance testing shows rising latency. Should we proceed?","[""DevSecOps"", ""SRE"", ""DevOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm022,pm_prioritization_escalation,"We have deployment instability, rising latency, and increasing cloud costs. Which issue should the team prioritize first?","[""DevOps"", ""SRE"", ""FinOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm023,pm_prioritization_escalation,"We are seeing delivery delays, production performance concerns, and security objections before release. What should I escalate to leadership?","[""DevOps"", ""SRE"", ""DevSecOps""]",SRE,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm024,release_governance,Can this release safely go out today given the recent failed deployment checks and operational concerns?,"[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm025,cross_domain_cost_reliability,"Autoscaling has improved performance, but our monthly cloud costs are much higher. Is this still worth it?","[""FinOps"", ""SRE""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm026,security_compliance_governance,A runtime security issue was detected after deployment and policy violations are being reported. What should we do now?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm027,release_governance,"The deployment is progressing, but restart loops and instability have been observed in some services. Are we safe to continue rollout?","[""DevOps""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm028,cost_governance,"We are under budget pressure, and recent scaling changes increased infrastructure costs. What action should we take?","[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm029,cross_domain_release_governance,"Customers are being affected after the latest release, and security concerns are also open. Should we continue or reverse course?","[""SRE"", ""DevSecOps"", ""DevOps""]",SRE,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm030,pm_prioritization_escalation,"Given current deployment, reliability, cost, and security issues, what should the team do in the next 24 hours?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",DevSecOps,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Patch or block release,False,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm031,security_compliance_governance,"Compliance controls have flagged issues with the release, and security recommends holding deployment. What is the decision?","[""DevSecOps""]",SRE,False,Patch or block release,"[""Patch or block release""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm032,cost_governance,"As traffic has grown, our infrastructure costs have risen sharply. Should we revise our scaling strategy?","[""FinOps"", ""SRE""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm033,reliability_operations,"During peak customer hours, we are seeing repeated timeouts and service degradation. What should we do?","[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm034,cross_domain_cost_reliability,"The build is stable, but latency is trending upward and costs are increasing. What governance action do you recommend?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm035,security_compliance_governance,Engineering is requesting a temporary security exception to meet the release deadline. Should we allow it?,"[""DevSecOps"", ""DevOps""]",SRE,False,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm036,pm_prioritization_escalation,"We have moderate operational concerns, but no major customer complaints yet. Can this issue be deferred safely?","[""SRE"", ""DevOps"", ""FinOps"", ""DevSecOps""]",SRE,True,No action (observe),"[""No action (observe)"", ""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm037,cross_domain_release_governance,"DevOps says the release is ready, SRE is worried about latency, and security has policy concerns. What is the final recommendation?","[""DevOps"", ""SRE"", ""DevSecOps""]",SRE,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm038,pm_prioritization_escalation,Our sprint delivery slipped because of repeated deployment and operational issues. What should I focus on first?,"[""DevOps"", ""SRE""]",SRE,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm039,cost_governance,"After launching the new feature, our operating costs increased sharply. Is this sustainable?","[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm040,reliability_operations,"We are seeing elevated latency and some errors, but the service is still functioning. Is this an incident or something we can monitor?","[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm041,release_governance,"We detected deployment drift before an important customer demo. Should we proceed, rollback, or hold?","[""DevOps""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm042,cross_domain_general_investigation,"Security concerns are rising, performance is degrading, and cloud costs are climbing. Please assess the overall situation and recommend the best next step.","[""DevSecOps"", ""SRE"", ""FinOps""]",SRE,True,Patch or block release,"[""Patch or block release"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm043,release_governance,"The team wants to continue rollout, but there are warning signs in reliability and deployment stability. Should we pause for review?","[""DevOps"", ""SRE""]",SRE,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm044,cost_governance,"Our infrastructure costs are trending upward, but performance seems stable. Are these costs acceptable or should we optimize?","[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm045,security_compliance_governance,We have identified compliance issues just before our audit window. What governance action should we take?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm046,pm_prioritization_escalation,"The release is facing deployment, latency, and security concerns. What is the likely business impact and what should I prioritize?","[""DevOps"", ""SRE"", ""DevSecOps""]",SRE,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm047,reliability_operations,Performance concerns are present but not yet severe. Can we safely monitor instead of intervening immediately?,"[""SRE""]",SRE,True,No action (observe),"[""No action (observe)"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm048,cross_domain_release_governance,"We have a customer-facing release scheduled, but security flagged policy issues and engineering is under deadline pressure. What is the right governance decision?","[""DevSecOps"", ""DevOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm049,cross_domain_cost_reliability,"We improved reliability, but it now costs much more to run the platform. Are we overspending to maintain stability?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm050,pm_prioritization_escalation,"Before today’s standup, I need a governance view of current deployment, reliability, cost, and security issues. What should the team focus on?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",DevSecOps,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Patch or block release,False,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm051,release_governance,"After the latest release, customer errors increased and the team is considering rollback. What governance action should we take?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm052,release_governance,The deployment pipeline failed before production rollout and the release artifact looks inconsistent. Should we continue or stop the release?,"[""DevOps""]",DevOps,True,Block release and fix pipeline,"[""Block release and fix pipeline"", ""Rollback to stable deployment""]",Block release and fix pipeline,True,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm053,release_governance,The new release shows configuration drift and repeated service restarts. What is the recommended governance decision?,"[""DevOps"", ""SRE""]",SRE,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm054,release_governance,"A build gate failed, but there is no confirmed customer impact yet. What should the project team do before approving the release?","[""DevOps""]",SRE,False,Block release and fix pipeline,"[""Block release and fix pipeline"", ""Rollback to stable deployment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm055,release_governance,"During the launch window, the new deployment caused restarts and failed requests. Should we rollback or continue monitoring?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm056,reliability_operations,Latency is rising across the customer workflow and users are reporting timeouts. What should the team prioritize?,"[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm057,reliability_operations,The error rate increased sharply and service availability is dropping. What governance action is appropriate?,"[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm058,reliability_operations,We are approaching a traffic peak and CPU saturation is increasing. Should we adjust capacity before the peak?,"[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm059,reliability_operations,"Customers are seeing slow responses, but there is no confirmed deployment failure. What should we do?","[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm060,reliability_operations,Service availability is below target and error rates are increasing. What should the project team recommend?,"[""SRE""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Scale adjustment,False,True,0.92,False,False,0.8104,0.609,0.54,0.4825,0.808
pm061,cost_governance,"Autoscaling increased the cloud bill, but reliability is currently stable. Should we revise the scaling policy?","[""FinOps""]",SRE,False,Review scaling policy,"[""Review scaling policy""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm062,cost_governance,The platform appears over-provisioned and costs are rising without clear reliability benefits. What action should we take?,"[""FinOps""]",SRE,False,Scale adjustment,"[""Scale adjustment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm063,cost_governance,The upcoming release may require higher infrastructure capacity and could exceed the cloud budget. What should we review?,"[""FinOps"", ""DevOps""]",SRE,False,Review scaling policy,"[""Review scaling policy"", ""Rollback to stable deployment"", ""Block release and fix pipeline""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm064,cost_governance,HPA scaled several services aggressively and cloud spend spiked overnight. What governance action should we recommend?,"[""FinOps""]",FinOps,True,Scale adjustment,"[""Scale adjustment""]",Review scaling policy,True,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm065,cost_governance,"Service reliability looks stable, but the cloud bill is increasing every day. What should the PM escalate?","[""FinOps""]",SRE,False,Review scaling policy,"[""Review scaling policy""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm066,security_compliance_governance,A critical CVE was found before the release approval meeting. Should we proceed with deployment?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release""]",Patch or block release,True,True,0.92,False,False,1.0494,0.4325,0.7,0.888,0.81
pm067,security_compliance_governance,The release candidate triggered a policy violation in the security gate. What governance decision is appropriate?,"[""DevSecOps"", ""DevOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm068,security_compliance_governance,IAM drift was detected before the audit review. What should the project team do before proceeding?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,"[""Patch or block release""]",Patch or block release,True,True,0.92,False,False,0.9762,0.3575,0.7,0.744,0.8086
pm069,security_compliance_governance,"The team is under pressure to release, but compliance evidence is incomplete. What should the governance recommendation be?","[""DevSecOps"", ""DevOps""]",SRE,False,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm070,security_compliance_governance,"Engineering requested a security exception for the release, but policy checks are still failing. What should we recommend?","[""DevSecOps""]",SRE,False,Patch or block release,"[""Patch or block release""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm071,cross_domain_release_governance,The release has deployment instability and a security finding. What should the PM recommend for the release decision?,"[""DevOps"", ""DevSecOps""]",SRE,False,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm072,cross_domain_release_governance,"After the release, latency increased and some services restarted. Should we rollback or continue monitoring?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,"[""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Mitigate and monitor"", ""Scale adjustment""]",Block release and fix pipeline,False,True,0.92,False,False,0.8845,0.6325,0.75,0.655,0.8085
pm073,cross_domain_release_governance,"The deployment pipeline passed, but the policy gate failed. What is the safest governance decision?","[""DevSecOps"", ""DevOps""]",SRE,False,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment""]",Mitigate and monitor,False,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm074,cross_domain_release_governance,"A customer release is scheduled today, but reliability tests show rising latency. What should the PM do?","[""SRE"", ""DevOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm075,cross_domain_release_governance,"The release introduced service restarts and security found a critical vulnerability. Should we rollback, patch, or hold the release?","[""DevOps"", ""DevSecOps"", ""SRE""]",DevOps,True,Patch or block release,"[""Patch or block release"", ""Rollback to stable deployment"", ""Mitigate and monitor"", ""Scale adjustment""]",Patch or block release,True,True,0.8,False,False,1.0494,0.4325,0.7,0.888,0.84
pm076,cross_domain_cost_reliability,"Reliability improved after scaling, but cloud cost increased sharply. What should we do next?","[""SRE"", ""FinOps""]",FinOps,True,Review scaling policy,"[""Review scaling policy"", ""Mitigate and monitor""]",Review scaling policy,True,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm077,cross_domain_cost_reliability,"The SRE team wants more capacity to reduce latency, but the project is under budget pressure. What should the PM recommend?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm078,cross_domain_cost_reliability,"FinOps recommends reducing capacity, but SRE is concerned it may affect SLOs. What governance action is appropriate?","[""FinOps"", ""SRE""]",SRE,True,Review scaling policy,"[""Review scaling policy"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm079,cross_domain_cost_reliability,"The system scaled out aggressively, but reliability metrics improved only slightly. Should we keep the current scaling settings?","[""FinOps"", ""SRE""]",SRE,True,Review scaling policy,"[""Review scaling policy"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm080,cross_domain_cost_reliability,"Traffic is surging, latency is rising, and the cloud budget alert has triggered. What should we prioritize?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,"[""Scale adjustment"", ""Mitigate and monitor""]",Mitigate and monitor,False,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm081,pm_prioritization_escalation,"For daily triage, I need to know whether deployment, reliability, cost, or security needs the most attention today.","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm082,pm_prioritization_escalation,"We have warning signals from deployment, reliability, and security. What should be escalated first?","[""DevOps"", ""SRE"", ""DevSecOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm083,pm_prioritization_escalation,"In standup, should we focus first on reliability degradation or the cloud-cost increase?","[""SRE"", ""FinOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm084,pm_prioritization_escalation,"Leadership wants a delivery-risk summary covering release stability, reliability, cost, and security. What is the governance view?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm085,pm_prioritization_escalation,"Several services show instability, costs are rising, and security has open findings. Should we pause the release train?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm086,cross_domain_general_investigation,"Multiple teams are reporting operational concerns, but it is unclear whether the main issue is deployment, reliability, cost, or security. Please assess.","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Patch or block release"", ""Rollback to stable deployment"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm087,cross_domain_general_investigation,"After the release, teams noticed slower performance and higher infrastructure usage, but the root cause is unclear. What should we do?","[""DevOps"", ""SRE"", ""FinOps""]",SRE,True,Mitigate and monitor,"[""Mitigate and monitor"", ""Rollback to stable deployment"", ""Block release and fix pipeline"", ""Scale adjustment""]",Mitigate and monitor,True,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
